"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","rt","device_id","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","35","0.0-0.0","9qa7owzvhyosjmf","conditionB","","","","",""
"true","","","","","fullscreen","1","2929","0.0-1.0","9qa7owzvhyosjmf","conditionB","1887","","","",""
"","","","","","initialize-microphone","2","6183","0.0-2.0","9qa7owzvhyosjmf","conditionB","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","",""
"","","","","","image-button-response","3","7987","0.0-3.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","4","12502","0.0-4.0","9qa7owzvhyosjmf","conditionB","null","","[""images/celebrities/1.png""]","null",""
"","","","","","image-button-response","5","15214","0.0-5.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","6","17030","0.0-6.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","7","18834","0.0-7.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","8","23347","0.0-8.0","9qa7owzvhyosjmf","conditionB","null","","[""images/celebrities/3.png""]","null",""
"","","","","","image-button-response","9","26062","0.0-9.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","10","27865","0.0-10.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","11","29670","0.0-11.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","12","34177","0.0-12.0","9qa7owzvhyosjmf","conditionB","null","","[""images/celebrities/5.png""]","null",""
"","","","","","image-button-response","13","36882","0.0-13.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","14","38685","0.0-14.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","15","40491","0.0-15.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","16","44996","0.0-16.0","9qa7owzvhyosjmf","conditionB","null","","[""images/celebrities/7.png""]","null",""
"","","","","","image-button-response","17","47709","0.0-17.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
"","","","","","image-button-response","18","49515","0.0-18.0","9qa7owzvhyosjmf","conditionB","null","","[]","null",""
