"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","audio_id","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","9227","0.0-0.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","","","","","",""
"true","","","","","fullscreen","1","52021","0.0-1.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","41793","","","","",""
"","","","","","initialize-microphone","2","60484","0.0-2.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","","bfb047f134540083d22255cd50642a7baa5a8a71b353ec112c74e8a5d6a928fa","","","",""
"","","","","","instructions","3","63165","0.0-3.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","2680","","[{""page_index"":0,""viewing_time"":943},{""page_index"":1,""viewing_time"":1736}]","","",""
"","","","","","image-button-response","4","67667","0.0-4.0-0.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","70370","0.0-4.0-1.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","72172","0.0-4.0-2.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","[]","null",""
"","","","","","image-button-response","7","76676","0.0-4.0-0.1","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","77443","0.0-4.0-1.1","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","766","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","79244","0.0-4.0-2.1","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","[]","null",""
"","","","","","image-button-response","10","83746","0.0-4.0-0.2","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","84696","0.0-4.0-1.2","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","949","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","86497","0.0-4.0-2.2","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","null","","","[]","null",""
"","","","","","instructions","13","91618","0.0-5.0","l3tt4u98qbdc26q","l3tt4u98qbdc26q-2024-01-29-03-18-02","5120","","[{""page_index"":0,""viewing_time"":4241},{""page_index"":1,""viewing_time"":879}]","","",""
