"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","5789","0.0-0.0","ejwnon4yj2v68vp","","","","","",""
"true","","","","","fullscreen","1","8821","0.0-1.0","ejwnon4yj2v68vp","2025","","","","",""
"","","","","","initialize-microphone","2","12270","0.0-2.0","ejwnon4yj2v68vp","","Ts/XAUK5PD1do+EuTp041Ge9oo7Aqwo6/kayo1rHVwM=","","","",""
"","","","","","instructions","3","19352","0.0-3.0","ejwnon4yj2v68vp","7078","","[{""page_index"":0,""viewing_time"":4387},{""page_index"":1,""viewing_time"":2691}]","","",""
"","","","","","image-button-response","4","23859","0.0-4.0-0.0","ejwnon4yj2v68vp","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","26637","0.0-4.0-1.0","ejwnon4yj2v68vp","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","28641","0.0-4.0-2.0","ejwnon4yj2v68vp","null","","","[]","null",""
"","","","","","image-button-response","7","33144","0.0-4.0-0.1","ejwnon4yj2v68vp","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","34610","0.0-4.0-1.1","ejwnon4yj2v68vp","1465","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","36618","0.0-4.0-2.1","ejwnon4yj2v68vp","null","","","[]","null",""
"","","","","","image-button-response","10","41237","0.0-4.0-0.2","ejwnon4yj2v68vp","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","42639","0.0-4.0-1.2","ejwnon4yj2v68vp","1399","","","images/instructions/timeline_0/3_Beyonce.png","0",""
"","","","","","image-button-response","12","44647","0.0-4.0-2.2","ejwnon4yj2v68vp","null","","","[]","null",""
"","","","","","instructions","13","49715","0.0-5.0","ejwnon4yj2v68vp","5066","","[{""page_index"":0,""viewing_time"":4080},{""page_index"":1,""viewing_time"":986}]","","",""
