"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","device_id","view_history","stimulus","response","estimated_stimulus_onset"
"true","false","[]","[]","[]","preload","0","3941","0.0-0.0","uvpk4qb19dj53bb","","","","","",""
"true","","","","","fullscreen","1","6158","0.0-1.0","uvpk4qb19dj53bb","1207","","","","",""
"","","","","","initialize-microphone","2","10203","0.0-2.0","uvpk4qb19dj53bb","","30dd22ab2b37206c966e6cc1697da94970f6bc28a96247bad18d1b2142137ac5","","","",""
"","","","","","instructions","3","12099","0.0-3.0","uvpk4qb19dj53bb","1895","","[{""page_index"":0,""viewing_time"":782},{""page_index"":1,""viewing_time"":1112}]","","",""
"","","","","","image-button-response","4","16614","0.0-4.0-0.0","uvpk4qb19dj53bb","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","5","19318","0.0-4.0-1.0","uvpk4qb19dj53bb","null","","","images/instructions/timeline_0/1_Barck_Obama.png","null",""
"","","","","","image-button-response","6","21128","0.0-4.0-2.0","uvpk4qb19dj53bb","null","","","[]","null",""
"","","","","","image-button-response","7","25635","0.0-4.0-0.1","uvpk4qb19dj53bb","null","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","null",""
"","","","","","image-button-response","8","27953","0.0-4.0-1.1","uvpk4qb19dj53bb","2317","","","images/instructions/timeline_0/2_Leonardo_DiCaprio.png","1",""
"","","","","","image-button-response","9","29755","0.0-4.0-2.1","uvpk4qb19dj53bb","null","","","[]","null",""
"","","","","","image-button-response","10","34256","0.0-4.0-0.2","uvpk4qb19dj53bb","null","","","images/instructions/timeline_0/3_Beyonce.png","null",""
"","","","","","image-button-response","11","35676","0.0-4.0-1.2","uvpk4qb19dj53bb","1418","","","images/instructions/timeline_0/3_Beyonce.png","1",""
"","","","","","image-button-response","12","37482","0.0-4.0-2.2","uvpk4qb19dj53bb","null","","","[]","null",""
"","","","","","instructions","13","39907","0.0-5.0","uvpk4qb19dj53bb","2424","","[{""page_index"":0,""viewing_time"":1572},{""page_index"":1,""viewing_time"":852}]","","",""
